"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PAYTM","EQ","06-Jan-2022","       1288.35","       1287.00","       1287.00","       1251.00","       1252.85","       1254.05","       1264.42","    1765486","          2232314496.45","     123523","     851792","         48.25"
"PAYTM","EQ","07-Jan-2022","       1254.05","       1265.00","       1265.00","       1230.00","       1232.00","       1231.60","       1239.10","    1807539","          2239726941.00","     120323","     790964","         43.76"
"PAYTM","EQ","10-Jan-2022","       1231.60","       1230.00","       1230.00","       1152.05","       1159.00","       1158.05","       1184.68","    4560745","          5403036145.95","     279585","    1738908","         38.13"
"PAYTM","EQ","11-Jan-2022","       1158.05","       1165.00","       1215.00","       1113.65","       1116.50","       1119.65","       1149.72","    6462743","          7430335022.40","     357709","    1762675","         27.27"
"PAYTM","EQ","12-Jan-2022","       1119.65","       1124.00","       1133.85","       1075.00","       1081.45","       1082.70","       1091.41","    6400253","          6985316302.00","     310557","    1685578","         26.34"
"PAYTM","EQ","13-Jan-2022","       1082.70","       1085.00","       1087.90","       1025.00","       1027.70","       1031.80","       1055.53","    5750658","          6069977568.95","     215538","    2174120","         37.81"
"PAYTM","EQ","14-Jan-2022","       1031.80","       1025.00","       1128.00","       1000.00","       1116.05","       1118.60","       1076.57","   16212066","         17453376826.45","     607796","    2593400","         16.00"
"PAYTM","EQ","17-Jan-2022","       1118.60","       1127.70","       1145.90","       1092.00","       1099.00","       1105.30","       1115.63","    5521603","          6160040234.15","     240363","    1254258","         22.72"
"PAYTM","EQ","18-Jan-2022","       1105.30","       1105.50","       1118.45","       1030.00","       1043.00","       1041.65","       1069.37","    4933836","          5276077642.35","     226249","    1571311","         31.85"
"PAYTM","EQ","19-Jan-2022","       1041.65","       1044.85","       1051.90","        990.00","        997.00","        997.35","       1007.14","    7289774","          7341819682.10","     331706","    2437745","         33.44"
